stream_title,stream_url,stream_status,stream_type,is_rewind,category,poi,poi_detail,provider,provider_url,address,latitude,longitude,last_updated
ライブカメラ | 白浜・白良浜まで徒歩1分｜ 【公式】白浜温泉の旅館 むさし,https://www.yado-musashi.co.jp/camera/,TRUE,video,FALSE,海岸,白良浜,,【公式】白浜温泉の旅館 むさし,https://www.yado-musashi.co.jp/camera/,和歌山県西牟婁郡白浜町868,33.678188,135.348108,2024-04-22 12:01:57
ザザシティ浜松　24時間ライブカメラ　（ワイド固定） - YouTube,https://www.youtube.com/watch?v=ZpeR0ra_YMY,TRUE,video,TRUE,道路,鍛冶町通りスクランブル交差点,,ZAZAマガジンチャンネル - YouTube,https://www.youtube.com/@zaza6075,静岡県浜松市中区鍛冶町430 093,34.976906,138.383023,2024-04-22 12:15:37
気田川（けたがわ）24hライブカメラ｜気田川漁業協同組合より配信（音声付）春野町・鮎の故郷・すみれの花咲く頃　　（防災カメラとしてもお役立て下さい） - YouTube,https://www.youtube.com/watch?v=0lvLYEbuK8A,TRUE,video,TRUE,河川,気田川,気田川漁業協同組合の屋上塔屋,ZAZAマガジンチャンネル - YouTube,https://www.youtube.com/@zaza6076,静岡県浜松市天竜区春野町堀之内1010-2,34.976906,138.383023,2024-04-22 12:30:14
浜名湖 舞阪漁港 浜名大橋24hライブカメラ「魚あら」より配信 - YouTube,https://www.youtube.com/watch?v=ubM5PnMsacc,TRUE,video,TRUE,河川,浜名湖,活魚料理「魚あら」,ZAZAマガジンチャンネル - YouTube,https://www.youtube.com/@zaza6077,静岡県浜松市中央区舞阪町舞阪2119-12,34.976906,138.383023,2024-04-22 12:40:02
はままつフラワーパーク　ライブカメラ 24h配信中 - YouTube,https://www.youtube.com/watch?v=CSJ-pbEj69o,TRUE,video,TRUE,観光,はままつフラワーパーク,クリスタルパレス（大温室）,ZAZAマガジンチャンネル - YouTube,https://www.youtube.com/@zaza6078,静岡県浜松市中央区舘山寺町 195,34.976906,138.383023,2024-04-22 12:30:16
浜名湖ガーデンパーク　ライブ24h配信　PTZカメラ - YouTube,https://www.youtube.com/watch?v=ZCssl60VdY0,TRUE,video,TRUE,河川,浜名湖ガーデンパーク,,ZAZAマガジンチャンネル - YouTube,https://www.youtube.com/@zaza6079,静岡県浜松市中央区村櫛町5475-1,34.976906,138.383023,2024-04-22 12:30:17
JR浜松駅南口（新幹線口）24時間ライブカメラ - YouTube,https://www.youtube.com/watch?v=2RUChKtPxaY,TRUE,video,TRUE,鉄道,JR浜松駅　南口　(新幹線口）,,ZAZAマガジンチャンネル - YouTube,https://www.youtube.com/@zaza6080,静岡県浜松市中央区砂山町324-8,34.976906,138.383023,2024-04-22 12:30:18
浅草寺の境内（本堂側）Precincts of Sensoji Temple (to Main Hall) - YouTube,https://www.youtube.com/watch?v=nOk4cd0kkp8,TRUE,video,FALSE,観光,浅草寺の境内（本堂側）,,宗教法人 浅草寺 公式チャンネル (Sensoji Temple) - YouTube,https://www.youtube.com/@sensojitemple1078,東京都台東区浅草二丁目3-1,35.689568,139.691717,2024-04-22 12:28:53
浅草寺の境内（雷門側）Precincts of Sensoji Temple (to Kaminarimon) - YouTube,https://www.youtube.com/watch?v=hBiBadOukZA,TRUE,video,FALSE,観光,浅草寺の境内（雷門側）,,宗教法人 浅草寺 公式チャンネル (Sensoji Temple) - YouTube,https://www.youtube.com/@sensojitemple1079,東京都台東区浅草二丁目3-1,35.689568,139.691717,2024-04-22 12:30:30
【空堀川】中里映像監視局［清瀬市野塩］ - YouTube,https://www.youtube.com/watch?v=dLsuCS_w0-8,TRUE,video,FALSE,河川,空堀川,,東京都水防チャンネル - YouTube,https://www.youtube.com/@TokyoSuibou,東京都清瀬市野塩一丁目,35.778537,139.501533,2024-04-22 12:37:23
【落合川】立野二の橋映像監視局［東久留米市本町1］ - YouTube,https://www.youtube.com/watch?v=3Lgz7df1nqE,TRUE,video,FALSE,河川,落合川,,東京都水防チャンネル - YouTube,https://www.youtube.com/@TokyoSuibou,東京都東久留米市本町一丁目9,35.757992,139.529673,2024-04-22 12:39:57
【野川】馬橋映像監視局［調布市国領2］ - YouTube,https://www.youtube.com/watch?v=P1DyrZjDrcM,TRUE,video,FALSE,河川,野川,,東京都水防チャンネル - YouTube,https://www.youtube.com/@TokyoSuibou,東京都調布市国領町二丁目25-22,35.650628,139.540683,2024-04-22 12:43:00
【養沢川】小宮ふるさと自然学校映像監視局［あきる野乙津］ - YouTube,https://www.youtube.com/watch?v=2Hl_YCgM0g8,TRUE,video,FALSE,河川,養沢川,,東京都水防チャンネル - YouTube,https://www.youtube.com/@TokyoSuibou,東京都あきる野市乙津1984,35.728959,139.294046,2024-04-22 12:43:01
