"id","stream_title","stream_url","stream_status","stream_type","is_rewind","category","poi","poi_detail","provider","provider_url","address","latitude","longitude","last_updated"
"yt_MDeVPQ5atzQ","【LIVE】新倉山浅間公園・忠霊塔 展望デッキ ライブカメラ (Mt.Fuji Live Camera  from Arakurayama Sengen Park Chureito Pagoda)","https://www.youtube.com/watch?v=MDeVPQ5atzQ","True","video","True","","","","TOURISM FUJIYOSHIDA","https://www.youtube.com/channel/UCnqVpkMd8g9BvbePO-ZXTVA","","","","2025-01-28 02:16:11"
"yt_765O9y3--zo","【TSC】岡山桃太郎空港　岡山市","https://www.youtube.com/watch?v=765O9y3--zo","True","video","False","","","","TSCテレビせとうち","https://www.youtube.com/channel/UCAzaZfwgfjYVRGn4S60xM6Q","","34.760334","133.853418","2025-01-28 02:16:44"
"other_63622198a08809a4","TSKライブカメラ | TSKさんいん中央テレビ","https://tsk-tv.com/livecamera/","True","image","False","道路","宍道湖","","TSKさんいん中央テレビ","https://tsk-tv.com/livecamera/","島根県松江市末次町86","35.467467","133.049814","2024-04-18 17:08:57"
"yt_ZHL5uf5KJF8","2025/01/27 PM～配信済み　JR 中央線 高尾駅 周辺 ライブカメラ / 4K LIVE TOKYO JAPAN","https://www.youtube.com/watch?v=ZHL5uf5KJF8","True","","False","","","","TTSC CH","https://www.youtube.com/channel/UC3XaMdKWwInRZABct7gKwFA","","35.642547","139.284646","2025-01-28 02:16:19"
"yt_a49pXas0L4M","観音寺川の桜並木 ライブカメラ 【2024.4.16～配信　4/17満開】","https://www.youtube.com/watch?v=a49pXas0L4M","False","video","False","観光","三春滝桜","","TUFchannel","https://www.youtube.com/channel/UCsci9tL9g8QPOvUwjJeDAgA","福島県田村郡三春町大字滝字桜久保296","37.4076991","140.500067","2025-01-28 02:16:22"
"yt_lFl4hgnoQTA","ライブカメラ　(福島・郡山・会津若松・小名浜)　[TUFテレビユー福島]","https://www.youtube.com/watch?v=lFl4hgnoQTA","True","","True","","","","TUFchannel","https://www.youtube.com/channel/UCsci9tL9g8QPOvUwjJeDAgA","","37.400682","140.37486","2025-01-28 02:16:30"
"yt_rBsA61t4URc","ライブカメラ　(吾妻山・阿武隈川)　提供：国交省福島河川国道事務所  [TUFテレビユー福島]","https://www.youtube.com/watch?v=rBsA61t4URc","True","video","False","","","","TUFchannel","https://www.youtube.com/channel/UCsci9tL9g8QPOvUwjJeDAgA","","37.73368","140.19998","2025-01-28 02:16:43"
"yt_wtu_BW6tN7I","ライブカメラ","https://www.youtube.com/watch?v=wtu_BW6tN7I","True","video","False","","","","TVh テレビ北海道 TV HOKKAIDO","https://www.youtube.com/channel/UCKFJS8Mrik1Uhzu_Hfnt91w","","","","2025-01-28 01:22:10"
"yt_GpUEzSGuxLQ","【ライブカメラ】","https://www.youtube.com/watch?v=GpUEzSGuxLQ","False","video","False","その他","札幌市","","TVh テレビ北海道 TV HOKKAIDO","https://www.youtube.com/channel/UCKFJS8Mrik1Uhzu_Hfnt91w","北海道札幌市","43.061972","141.354374","2025-01-28 01:05:35"
"yt_oAZ0owknbR4","T - base 難波江 波情報Live","https://www.youtube.com/watch?v=oAZ0owknbR4","True","video","True","","","","Tbase難波江","https://www.youtube.com/channel/UCdP867jH_zBQNtO45JExnSw","","35.501659","135.508715","2025-01-28 00:41:27"
"yt_IQms8zArI7w","【ライブカメラ】新潟市、長岡市、上越市、佐渡市、JR新潟駅前　県内5地点ループ　Niigata, Japan","https://www.youtube.com/watch?v=IQms8zArI7w","True","video","True","","","","TeNY新潟一番ニュース","https://www.youtube.com/channel/UC_0tfCjB-pPNR8r9G9G1fTA","","","","2025-01-28 02:16:14"
"yt_enBReBFAk7U","利尻島　オタドマリ沼Live配信　-Rishiri Island, Hokkaido-","https://www.youtube.com/watch?v=enBReBFAk7U","True","video","True","","","","Tetsu Kuro","https://www.youtube.com/channel/UCp1PQJKoJfZcfAcYlOh8sKA","","45.118205","141.286267","2025-01-28 02:16:51"
"yt_5BG3KJVFRVM","利尻島　仙法志御崎公園LIVE配信！-Rishiri Island, Hokkaido-","https://www.youtube.com/watch?v=5BG3KJVFRVM","True","video","True","","","","Tetsu Kuro","https://www.youtube.com/channel/UCp1PQJKoJfZcfAcYlOh8sKA","","45.100907","141.228139","2025-01-28 02:16:50"
"yt_FMfrTVW-FpA","JR 中央本線ライブカメラ② （春日居町 ⇔ 石和温泉）下り甲府、松本方面【1月】","https://www.youtube.com/watch?v=FMfrTVW-FpA","True","video","True","","","","The Dramatic 中央本線。","https://www.youtube.com/channel/UCZ974tQkAeV7_l_opPHCcdg","","","","2025-01-28 01:22:09"
"yt_KeivZcJ38VM","JR 中央本線ライブカメラ③（春日居町 ⇔ 石和温泉）熊野権現踏切【1月】","https://www.youtube.com/watch?v=KeivZcJ38VM","True","video","True","","","","The Dramatic 中央本線。","https://www.youtube.com/channel/UCZ974tQkAeV7_l_opPHCcdg","","35.668135","138.652124","2025-01-28 00:41:10"
"yt_XXE7EK46Nb0","JR 中央本線ライブカメラ①（春日居町 ⇔ 石和温泉）上り八王子、新宿方向【山梨県笛吹市】","https://www.youtube.com/watch?v=XXE7EK46Nb0","True","","True","","","","The Dramatic 中央本線。","https://www.youtube.com/channel/UCZ974tQkAeV7_l_opPHCcdg","","35.66615","138.649898","2025-01-28 00:43:05"
"yt_Kh6nj86qJyQ","【ライブカメラ・４K】絶景　東伊豆　熱川　片瀬海岸（URLが変わる場合があります。チャンネル登録が便利です）","https://www.youtube.com/watch?v=Kh6nj86qJyQ","True","video","True","","","","The East Coast Of The Izu Peninsula.","https://www.youtube.com/channel/UCJmcX1-3OyZr7rGWSFc-1rg","","34.799842","139.036207","2025-01-28 02:16:50"
"yt_1ik7_dvknHI","白樺公園ライブカメラ","https://www.youtube.com/watch?v=1ik7_dvknHI","False","video","False","その他","白樺公園","","TobetsuTown","https://www.youtube.com/channel/UCBcf4Bn1rbhg6iObCHbpdMQ","北海道石狩郡当別町白樺町","43.223706","141.515577","2025-01-28 01:05:37"
"yt_bQMP7-GzdIQ","ライブカメラ ＪＲ札幌駅 (ＳＴＶ札幌テレビ放送) Live Camera Sapporo Station , Hokkaido - YouTube","https://www.youtube.com/watch?v=bQMP7-GzdIQ","False","video","False","鉄道","JR札幌駅","札幌医療リハビリ専門学校","TobetsuTown - YouTube","https://www.youtube.com/@itjoho/streams","北海道札幌市北区北六条西一丁目3-1","43.090693","141.340882","2024-04-13 20:07:46"
"yt_kmo17mb5LvI","Tokyo Live Camera Ch1 [4K] 東京 汐留 鉄道 ライブカメラ","https://www.youtube.com/watch?v=kmo17mb5LvI","False","video","False","その他","汐留","","Tokyo Live Camera","https://www.youtube.com/channel/UCbTLJi8lXWIt_d1AtRv4Nmw","東京都港区東新橋二丁目18-1","35.689568","139.691717","2025-01-28 01:05:41"
"yt_8i9ltzhq80s","Tokyo 4K Panorama Livecam 東京4Kパノラマライブカメラ","https://www.youtube.com/watch?v=8i9ltzhq80s","False","video","False","河川","東京都江東区の運河","","Tokyo Skyline","https://www.youtube.com/channel/UCsQBuRimy-hLk1jNBq-Yx9Q","東京都江東区豊洲六丁目1-16","35.6488834","139.790019","2025-01-28 01:05:30"
